SourceWell,DestWell
1,1
13,13
25,25
37,37
49,49
61,61
73,73
85,85
1,2
13,14
25,26
37,38
49,50
61,62
73,74
85,86
2,3
14,15
26,27
38,39
50,51
62,63
74,75
86,87
2,4
14,16
26,28
38,40
50,52
62,64
74,76
86,88
3,5
15,17
27,29
39,41
51,53
63,65
75,77
87,89
3,6
15,18
27,30
39,42
51,54
63,66
75,78
87,90
4,7
16,19
28,31
40,43
52,55
64,67
76,79
88,91
4,8
16,20
28,32
40,44
52,56
64,68
76,80
88,92
5,9
17,21
29,33
41,45
53,57
65,69
77,81
89,93
5,10
17,22
29,34
41,46
53,58
65,70
77,82
89,94
6,11
18,23
30,35
42,47
54,59
66,71
78,83
90,95
6,12
18,24
30,36
42,48
54,60
66,72
78,84
90,96
